source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified,ID_group,name_group,ID_technique,name_technique
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1588.001,Malware,attack-pattern--7807d3a4-a885-4639-a786-c1ed41484970,technique,[APT1](https://attack.mitre.org/groups/G0006) used publicly available malware for privilege escalation.(Citation: Mandiant APT1),relationship--7b817a81-02a9-48f0-8166-9e25b6860a76,15-Oct-20,22-Oct-20,G0006,APT1,T1588.001,Obtain Capabilities: Malware
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1036.005,Match Legitimate Name or Location,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,technique,"The file name AcroRD32.exe, a legitimate process name for Adobe's Acrobat Reader, was used by [APT1](https://attack.mitre.org/groups/G0006) as a name for malware.(Citation: Mandiant APT1)(Citation: Mandiant APT1 Appendix)",relationship--c7823efd-005f-49ad-94cf-ebc44a87abed,31-May-17,26-Dec-23,G0006,APT1,T1036.005,Masquerading: Match Legitimate Name or Location
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1135,Network Share Discovery,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f,technique,[APT1](https://attack.mitre.org/groups/G0006) listed connected network shares.(Citation: Mandiant APT1),relationship--e07b76a4-98d7-4adc-b90e-a1f7f2266867,30-Jan-19,20-Aug-19,G0006,APT1,T1135,Network Share Discovery
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1550.002,Pass the Hash,attack-pattern--e624264c-033a-424d-9fd7-fc9c3bbdb03e,technique,The [APT1](https://attack.mitre.org/groups/G0006) group is known to have used pass the hash.(Citation: Mandiant APT1),relationship--3b35fec9-ee0d-4c2d-9936-0aa06ad6a49a,31-May-17,20-Aug-19,G0006,APT1,T1550.002,Use Alternate Authentication Material: Pass the Hash
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1057,Process Discovery,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,technique,[APT1](https://attack.mitre.org/groups/G0006) gathered a list of running processes on the system using <code>tasklist /v</code>.(Citation: Mandiant APT1),relationship--38416e2a-3590-4827-9a6f-d8f1df6568af,30-Jan-19,20-Aug-19,G0006,APT1,T1057,Process Discovery
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1021.001,Remote Desktop Protocol,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf,technique,The [APT1](https://attack.mitre.org/groups/G0006) group is known to have used RDP during operations.(Citation: FireEye PLA),relationship--fc2ffb01-2c4e-429d-b4fd-e0d20678504a,31-May-17,20-Aug-19,G0006,APT1,T1021.001,Remote Services: Remote Desktop Protocol
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1114.002,Remote Email Collection,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a,technique,"[APT1](https://attack.mitre.org/groups/G0006) uses two utilities, GETMAIL and MAPIGET, to steal email. MAPIGET steals email still on Exchange servers that has not yet been archived.(Citation: Mandiant APT1)",relationship--4eb5fba5-be97-4103-9b52-f77e02765fad,17-Mar-20,17-Mar-20,G0006,APT1,T1114.002,Email Collection: Remote Email Collection
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,[APT1](https://attack.mitre.org/groups/G0006) has sent spearphishing emails containing malicious attachments.(Citation: Mandiant APT1),relationship--de4ae50a-0561-4d01-885a-eab60008d5eb,14-Oct-20,14-Oct-20,G0006,APT1,T1566.001,Phishing: Spearphishing Attachment
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1566.002,Spearphishing Link,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,technique,[APT1](https://attack.mitre.org/groups/G0006) has sent spearphishing emails containing hyperlinks to malicious files.(Citation: Mandiant APT1),relationship--5bc68652-1d99-4782-80bd-086fc7f8358c,14-Oct-20,14-Oct-20,G0006,APT1,T1566.002,Phishing: Spearphishing Link
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1016,System Network Configuration Discovery,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,technique,[APT1](https://attack.mitre.org/groups/G0006) used the <code>ipconfig /all</code> command to gather network configuration information.(Citation: Mandiant APT1),relationship--635c959b-acf4-464a-a240-f299f5fea753,30-Jan-19,20-Aug-19,G0006,APT1,T1016,System Network Configuration Discovery
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1049,System Network Connections Discovery,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,technique,[APT1](https://attack.mitre.org/groups/G0006) used the <code>net use</code> command to get a listing on network connections.(Citation: Mandiant APT1),relationship--886942af-c1e9-49e9-af7e-98d1899f3000,30-Jan-19,20-Aug-19,G0006,APT1,T1049,System Network Connections Discovery
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1007,System Service Discovery,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,technique,[APT1](https://attack.mitre.org/groups/G0006) used the commands <code>net start</code> and <code>tasklist</code> to get a listing of the services on the system.(Citation: Mandiant APT1),relationship--f9c7127d-2a27-4dcf-bef5-9150a6c4334d,30-Jan-19,20-Aug-19,G0006,APT1,T1007,System Service Discovery
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1588.002,Tool,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,technique,[APT1](https://attack.mitre.org/groups/G0006) has used various open-source tools for privilege escalation purposes.(Citation: Mandiant APT1),relationship--f55814a0-9e57-4bf3-bc40-21e7d3fca230,26-May-21,26-May-21,G0006,APT1,T1588.002,Obtain Capabilities: Tool
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1059.003,Windows Command Shell,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,technique,"[APT1](https://attack.mitre.org/groups/G0006) has used the Windows command shell to execute commands, and batch scripting to automate execution.(Citation: Mandiant APT1)",relationship--ea40711b-461d-4629-b1fd-5f020b1f3257,31-May-17,17-Mar-20,G0006,APT1,T1059.003,Command and Scripting Interpreter: Windows Command Shell
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1102.002,Bidirectional Communication,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,technique,[APT12](https://attack.mitre.org/groups/G0005) has used blogs and WordPress for C2 infrastructure.(Citation: Meyers Numbered Panda),relationship--5a49400c-2003-463c-8e6e-97b79f560675,10-Jun-19,20-Mar-20,G0005,APT12,T1102.002,Web Service: Bidirectional Communication
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1568.003,DNS Calculation,attack-pattern--83a766f8-1501-4b3a-a2de-2e2849e8dfc1,technique,[APT12](https://attack.mitre.org/groups/G0005) has used multiple variants of [DNS Calculation](https://attack.mitre.org/techniques/T1568/003) including multiplying the first two octets of an IP address and adding the third octet to that value in order to get a resulting command and control port.(Citation: Meyers Numbered Panda),relationship--66647c20-2d76-4711-9eee-07d932e75851,27-Mar-20,27-Mar-20,G0005,APT12,T1568.003,Dynamic Resolution: DNS Calculation
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1203,Exploitation for Client Execution,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,technique,"[APT12](https://attack.mitre.org/groups/G0005) has exploited multiple vulnerabilities for execution, including Microsoft Office vulnerabilities (CVE-2009-3129, CVE-2012-0158) and vulnerabilities in Adobe Reader and Flash (CVE-2009-4324, CVE-2009-0927, CVE-2011-0609, CVE-2011-0611).(Citation: Moran 2014)(Citation: Trend Micro IXESHE 2012)",relationship--75b6869c-dd4e-44ec-8614-97fe792e9dd6,7-Jun-19,10-Jun-19,G0005,APT12,T1203,Exploitation for Client Execution
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1204.002,Malicious File,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,technique,[APT12](https://attack.mitre.org/groups/G0005) has attempted to get victims to open malicious Microsoft Word and PDF attachment sent via spearphishing.(Citation: Moran 2014)(Citation: Trend Micro IXESHE 2012),relationship--0c9b6c09-8fc9-42c7-bfd7-316e9bbfa271,7-Jun-19,12-Mar-20,G0005,APT12,T1204.002,User Execution: Malicious File
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,[APT12](https://attack.mitre.org/groups/G0005) has sent emails with malicious Microsoft Office documents and PDFs attached.(Citation: Moran 2014)(Citation: Trend Micro IXESHE 2012),relationship--8126e72d-1be0-4237-b9c9-33045be072c3,7-Jun-19,10-Jun-19,G0005,APT12,T1566.001,Phishing: Spearphishing Attachment
G0023,APT16,intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,group,uses,T1584.004,Server,attack-pattern--e196b5c5-8118-4a1c-ab8a-936586ce3db5,technique,[APT16](https://attack.mitre.org/groups/G0023) has compromised otherwise legitimate sites as staging servers for second-stage payloads.(Citation: FireEye EPS Awakens Part 2),relationship--82bfe762-9468-458e-801a-13387a271521,12-Oct-20,26-Jul-22,G0023,APT16,T1584.004,Compromise Infrastructure: Server
G0025,APT17,intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,group,uses,T1585,Establish Accounts,attack-pattern--cdfc5f0a-9bb9-4352-b896-553cfa2d8fd8,technique,"[APT17](https://attack.mitre.org/groups/G0025) has created and cultivated profile pages in Microsoft TechNet. To make profile pages appear more legitimate, [APT17](https://attack.mitre.org/groups/G0025) has created biographical sections and posted in forum threads.(Citation: FireEye APT17)",relationship--fd9834dc-0323-408b-b217-3f3aa27b50ac,13-Oct-20,13-Oct-20,G0025,APT17,T1585,Establish Accounts
G0025,APT17,intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,group,uses,T1583.006,Web Services,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,technique,[APT17](https://attack.mitre.org/groups/G0025) has created profile pages in Microsoft TechNet that were used as C2 infrastructure.(Citation: FireEye APT17),relationship--41ca57db-9736-4adf-ac5d-ea2be2ab4860,13-Oct-20,13-Oct-20,G0025,APT17,T1583.006,Acquire Infrastructure: Web Services
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1053.002,At,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0,technique,[APT18](https://attack.mitre.org/groups/G0026) actors used the native [at](https://attack.mitre.org/software/S0110) Windows task scheduler tool to use scheduled tasks for execution on a victim network.(Citation: Dell Lateral Movement),relationship--67f19627-27a5-4898-bab5-7b235aa4ad77,31-May-17,6-Mar-20,G0026,APT18,T1053.002,Scheduled Task/Job: At
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1071.004,DNS,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,technique,[APT18](https://attack.mitre.org/groups/G0026) uses DNS for C2 communications.(Citation: PaloAlto DNS Requests May 2016),relationship--c1cf88bc-6229-4d62-86f5-36aa0e7bd21a,17-Mar-20,17-Mar-20,G0026,APT18,T1071.004,Application Layer Protocol: DNS
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1027.013,Encrypted/Encoded File,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,technique,[APT18](https://attack.mitre.org/groups/G0026) obfuscates strings in the payload.(Citation: PaloAlto DNS Requests May 2016),relationship--23bd8e78-b20d-41bd-acfb-5ed356b327b2,30-Jan-19,11-Apr-24,G0026,APT18,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1133,External Remote Services,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,technique,[APT18](https://attack.mitre.org/groups/G0026) actors leverage legitimate credentials to log into external remote services.(Citation: RSA2017 Detect and Respond Adair),relationship--3b521f87-a77d-4c8d-8ab8-ffc6dbc3d62e,31-May-17,16-Jun-21,G0026,APT18,T1133,External Remote Services
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1070.004,File Deletion,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,technique,[APT18](https://attack.mitre.org/groups/G0026) actors deleted tools and batch files from victim systems.(Citation: Dell Lateral Movement),relationship--6175bbbe-1bc1-4562-8c5f-9e437348636a,31-May-17,30-May-19,G0026,APT18,T1070.004,Indicator Removal: File Deletion
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1083,File and Directory Discovery,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,technique,[APT18](https://attack.mitre.org/groups/G0026) can list files information for specific directories.(Citation: PaloAlto DNS Requests May 2016),relationship--e3417dc3-f784-4306-8466-65a0067b63f1,30-Jan-19,30-May-19,G0026,APT18,T1083,File and Directory Discovery
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1105,Ingress Tool Transfer,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,technique,[APT18](https://attack.mitre.org/groups/G0026) can upload a file to the victim’s machine.(Citation: PaloAlto DNS Requests May 2016),relationship--882c68e3-5f01-4438-a430-ff22692d8910,30-Jan-19,30-May-19,G0026,APT18,T1105,Ingress Tool Transfer
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1547.001,Registry Run Keys / Startup Folder,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,technique,[APT18](https://attack.mitre.org/groups/G0026) establishes persistence via the <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Run</code> key.(Citation: Anomali Evasive Maneuvers July 2015)(Citation: PaloAlto DNS Requests May 2016),relationship--e47f03aa-09b3-45a2-927d-b2cd96e7c444,30-Jan-19,30-May-19,G0026,APT18,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1082,System Information Discovery,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,technique,[APT18](https://attack.mitre.org/groups/G0026) can collect system information from the victim’s machine.(Citation: PaloAlto DNS Requests May 2016),relationship--c47e35e1-cf8a-4c2b-b63d-25b37a008226,30-Jan-19,30-May-19,G0026,APT18,T1082,System Information Discovery
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1078,Valid Accounts,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,technique,[APT18](https://attack.mitre.org/groups/G0026) actors leverage legitimate credentials to log into external remote services.(Citation: RSA2017 Detect and Respond Adair),relationship--1ac5bace-cdc2-4a1b-abad-d30ca0ed7f45,31-May-17,16-Jun-21,G0026,APT18,T1078,Valid Accounts
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1071.001,Web Protocols,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,technique,[APT18](https://attack.mitre.org/groups/G0026) uses HTTP for C2 communications.(Citation: PaloAlto DNS Requests May 2016),relationship--d7d7b5e5-aceb-473b-aeaa-f1287d8d0542,30-Jan-19,17-Mar-20,G0026,APT18,T1071.001,Application Layer Protocol: Web Protocols
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1059.003,Windows Command Shell,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,technique,[APT18](https://attack.mitre.org/groups/G0026) uses cmd.exe to execute commands on the victim’s machine.(Citation: PaloAlto DNS Requests May 2016)(Citation: Anomali Evasive Maneuvers July 2015),relationship--e453cf75-0df0-45e5-a5ce-e0984bf864f8,30-Jan-19,17-Mar-20,G0026,APT18,T1059.003,Command and Scripting Interpreter: Windows Command Shell
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1027.010,Command Obfuscation,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377,technique,[APT19](https://attack.mitre.org/groups/G0073) used Base64 to obfuscate executed commands.(Citation: FireEye APT19),relationship--fd78292b-d484-4d08-baa4-f6b58bb63622,21-Mar-23,21-Mar-23,G0073,APT19,T1027.010,Obfuscated Files or Information: Command Obfuscation
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1059,Command and Scripting Interpreter,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,technique,[APT19](https://attack.mitre.org/groups/G0073) downloaded and launched code within a SCT file.(Citation: FireEye APT19),relationship--4f2e62d0-5345-45dc-9e9d-46bb11c5f35d,17-Oct-18,17-Mar-20,G0073,APT19,T1059,Command and Scripting Interpreter
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1574.002,DLL Side-Loading,attack-pattern--e64c62cf-9cd7-4a14-94ec-cdaac43ab44b,technique,[APT19](https://attack.mitre.org/groups/G0073) launched an HTTP malware variant and a Port 22 malware variant using a legitimate executable that loaded the malicious DLL.(Citation: Unit 42 C0d0so0 Jan 2016),relationship--f35a3ca7-b916-4bc2-a493-613196b5d41e,17-Oct-18,25-Apr-19,G0073,APT19,T1574.002,Hijack Execution Flow: DLL Side-Loading
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1140,Deobfuscate/Decode Files or Information,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,technique,An [APT19](https://attack.mitre.org/groups/G0073) HTTP malware variant decrypts strings using single-byte XOR keys.(Citation: Unit 42 C0d0so0 Jan 2016),relationship--f84b2658-a891-45a8-93ff-14dc0a86df10,17-Oct-18,25-Apr-19,G0073,APT19,T1140,Deobfuscate/Decode Files or Information
